"ID","AUTHOR__C","BOOK_TYPE__C","PRICE__C","NAME","EXT_BOOK_ID__C","ID","STATUS"
"a0BGA000050SLqz2AG","Aang","Fiction","550","Avatar","B089","a0BGA000050SLqz2AG","Item Updated"
"a0BGA000050SLr02AG","James","Classic","890","Titanic","B090","a0BGA000050SLr02AG","Item Updated"
"a0BGA000050SLha2AG","K.Viswanth","Classic","10","Swarnakamlam","B001","a0BGA000050SLha2AG","Item Updated"
"a0BGA000050SLhb2AG","Chirenjevi","Drama","20","Donga","B002","a0BGA000050SLhb2AG","Item Updated"
"a0BGA000050SLhc2AG","Charan","Drama","30","Dhruva","B003","a0BGA000050SLhc2AG","Item Updated"
"a0BGA000050SLhd2AG","Maimuna","Classic","100","Harry Porter- Part-2","B004","a0BGA000050SLhd2AG","Item Updated"
"a0BGA000050SLhe2AG","Chiranjeevi","Classic","20","Khiadi 150","B005","a0BGA000050SLhe2AG","Item Updated"
"a0BGA000050SLhf2AG","Rana","Drama","20","Bhaubali","B006","a0BGA000050SLhf2AG","Item Updated"
"a0BGA000050SLhg2AG","Chirenjevi","Drama","30","Katamarayudu","B007","a0BGA000050SLhg2AG","Item Updated"
"a0BGA000050SLhh2AG","Venkatesh","Drama","40","Raja","B008","a0BGA000050SLhh2AG","Item Updated"
"a0BGA000050SLhi2AG","Valdmir Putin","Fiction","73","Independenc Day","B009","a0BGA000050SLhi2AG","Item Updated"
"a0BGA000050SLhj2AG","Nagarjuna","Drama","60","Welcome 2","B010","a0BGA000050SLhj2AG","Item Updated"
"a0BGA000050SLhk2AG","Valmiki","Drama","100","Ramayana","B011","a0BGA000050SLhk2AG","Item Updated"
"a0BGA000050SLhl2AG","Vyasa","Classic","100","Mahabaratham","B012","a0BGA000050SLhl2AG","Item Updated"
"a0BGA000050SLhm2AG","Tiger Shroff","Drama","300","War","B013","a0BGA000050SLhm2AG","Item Updated"
"a0BGA000050SLhn2AG","NTR","Drama","200","Syra Narsimah Reddy","B014","a0BGA000050SLhn2AG","Item Updated"
"a0BGA000050SLho2AG","Jr NTR","Drama","20","RRR","B015","a0BGA000050SLho2AG","Item Updated"
"a0BGA000050SLhp2AG","Ashish","Drama","100","Expandables","B016","a0BGA000050SLhp2AG","Item Updated"
"a0BGA000050SLhq2AG","Kuashal","Drama","200","Uri","B017","a0BGA000050SLhq2AG","Item Updated"
"a0BGA000050SLhr2AG","China - Wuhang","Fiction","300","Corona Virus -Phase 1","B018","a0BGA000050SLhr2AG","Item Updated"
"a0BGA000050SLhs2AG","India","Fiction","300","Welcome to India","B019","a0BGA000050SLhs2AG","Item Updated"
"a0BGA000050SLht2AG","Evans","Fiction","400","Fast Furious","B020","a0BGA000050SLht2AG","Item Updated"
"a0BGA000050SLhu2AG","Prasant Niel","Fiction","400","KGF-Part3","B021","a0BGA000050SLhu2AG","Item Updated"
"a0BGA000050SLhv2AG","Yash","Fiction","400","KGF-Part4","B022","a0BGA000050SLhv2AG","Item Updated"
"a0BGA000050SLhw2AG","Yash","Fiction","300","KGF-Part2","B023","a0BGA000050SLhw2AG","Item Updated"
"a0BGA000050SLhx2AG","Pawan Kalyan","Drama","200","Welcome 3","B024","a0BGA000050SLhx2AG","Item Updated"
"a0BGA000050SLhy2AG","Brad Pit","Fiction","799","Iron Man","B025","a0BGA000050SLhy2AG","Item Updated"
"a0BGA000050SLhz2AG","Rajnikanth","Drama","899","Master","B026","a0BGA000050SLhz2AG","Item Updated"
"a0BGA000050SLi02AG","Kathrenia Kaif","Fiction","700","Ektha Tiger","B027","a0BGA000050SLi02AG","Item Updated"
"a0BGA000050SLi12AG","Sr. George Bush","Drama","700","Rambo","B028","a0BGA000050SLi12AG","Item Updated"
"a0BGA000050SLi22AG","Pawan Kalyan","Drama","800","Vakeel Saab","B029","a0BGA000050SLi22AG","Item Updated"
"a0BGA000050SLi32AG","Brad Pit","Fiction","203","The Troy","B030","a0BGA000050SLi32AG","Item Updated"
"a0BGA000050SLi42AG","Elon Musk","Fiction","634","Tesla","B031","a0BGA000050SLi42AG","Item Updated"
"a0BGA000050SLi52AG","Akshay","Fiction","653","Radhe","B032","a0BGA000050SLi52AG","Item Updated"
"a0BGA000050SLi62AG","Prabhas","Fiction","323","RadheShyam","B033","a0BGA000050SLi62AG","Item Updated"
"a0BGA000050SLi72AG","China","Drama","500","Corono Phase 3","B034","a0BGA000050SLi72AG","Item Updated"
"a0BGA000050SLi82AG","Manoj Bajpayee","Fiction","211","Family Man- Part2","B035","a0BGA000050SLi82AG","Item Updated"
"a0BGA000050SLi92AG","Sylverster","Drama","872","Rocky","B036","a0BGA000050SLi92AG","Item Updated"
"a0BGA000050SLiA2AW","Arnold","Fiction","877","Spider Man Part-1","B037","a0BGA000050SLiA2AW","Item Updated"
"a0BGA000050SLiB2AW","Sania Mirza","Drama","988","Tennis","B038","a0BGA000050SLiB2AW","Item Updated"
"a0BGA000050SLiC2AW","Kaustab","Drama","922","Michelin Movies","B039","a0BGA000050SLiC2AW","Item Updated"
"a0BGA000050SLiD2AW","John Travolta","Fiction","928","Avengers","B040","a0BGA000050SLiD2AW","Item Updated"
"a0BGA000050SLiE2AW","Jeff Boyce","Drama","999","Amazon","B041","a0BGA000050SLiE2AW","Item Updated"
"a0BGA000050SLiF2AW","Deepika","Drama","987","Phathan","B042","a0BGA000050SLiF2AW","Item Updated"
"a0BGA000050SLiG2AW","Sidhartha","Fiction","987","Shersha","B043","a0BGA000050SLiG2AW","Item Updated"
"a0BGA000050SLiP2AW","Aay Devegan","Fiction","654","Dhrishyam-2","B052","a0BGA000050SLiP2AW","Item Updated"
"a0BGA000050SLiQ2AW","Dharani","Fiction","878","Poor Dad Rich Dad","B053","a0BGA000050SLiQ2AW","Item Updated"
"a0BGA000050SLiR2AW","Ramcharan","Drama","766","Aacharya","B054","a0BGA000050SLiR2AW","Item Updated"
"a0BGA000050SLiS2AW","Puri Jaganath","Fiction","939","Bimla Naya","B055","a0BGA000050SLiS2AW","Item Updated"
"a0BGA000050SLiT2AW","Valdmir Putin","Drama","727","Ukraine War","B056","a0BGA000050SLiT2AW","Item Updated"
"a0BGA000050SLiH2AW","John Abraham","Drama","765","Batla House","B044","a0BGA000050SLiH2AW","Item Updated"
"a0BGA000050SLiI2AW","China","Fiction","827","Omicron","B045","a0BGA000050SLiI2AW","Item Updated"
"a0BGA000050SLiJ2AW","Jack Sparrow","Fiction","788","Godzilla","B046","a0BGA000050SLiJ2AW","Item Updated"
"a0BGA000050SLiK2AW","Pawan Kalyan","Fiction","888","Jurasic Park","B047","a0BGA000050SLiK2AW","Item Updated"
"a0BGA000050SLiL2AW","Akshay","Drama","828","Suryavamshi","B048","a0BGA000050SLiL2AW","Item Updated"
"a0BGA000050SLiM2AW","John Travolta","Fiction","726","Incredibles","B049","a0BGA000050SLiM2AW","Item Updated"
"a0BGA000050SLiN2AW","Markus","Fiction","456","The Book Thief","B050","a0BGA000050SLiN2AW","Item Updated"
"a0BGA000050SLiO2AW","Allu Arjun","Drama","765","Pushpa","B051","a0BGA000050SLiO2AW","Item Updated"
"a0BGA000050SLiU2AW","Ganagan","Drama","888","House of Cards","B057","a0BGA000050SLiU2AW","Item Updated"
"a0BGA000050SLiV2AW","Gangmen","Drama","838","Norcotics","B058","a0BGA000050SLiV2AW","Item Updated"
"a0BGA000050SLiW2AW","Aay Devegan","Fiction","333","Spityilla","B059","a0BGA000050SLiW2AW","Item Updated"
"a0BGA000050SLiX2AW","Anupam Kher","Drama","822","Kashmiri Files","B060","a0BGA000050SLiX2AW","Item Updated"
"a0BGA000050SLiY2AW","Rohit Shetty","Fiction","333","Golmal-2","B062","a0BGA000050SLiY2AW","Item Updated"
"a0BGA000050SLiZ2AW","Modi","Fiction","727","Last Morning","B061","a0BGA000050SLiZ2AW","Item Updated"
"a0BGA000050SLia2AG","Chiyan Vikram","Drama","882","Vikram","B063","a0BGA000050SLia2AG","Item Updated"
"a0BGA000050SLib2AG","Tamana","Drama","777","F3","B064","a0BGA000050SLib2AG","Item Updated"
"a0BGA000050SLic2AG","Puri Jaganath","Fiction","882","Forensic","B065","a0BGA000050SLic2AG","Item Updated"
"a0BGA000050SLid2AG","Nikil","Fiction","569","Karthekya-2","B066","a0BGA000050SLid2AG","Item Updated"
"a0BGA000050SLie2AG","Dulqar Salman","Drama","888","Sita Ram","B067","a0BGA000050SLie2AG","Item Updated"
"a0BGA000050SLif2AG","Puri Jaganath","Fiction","888","Liger","B068","a0BGA000050SLif2AG","Item Updated"
"a0BGA000050SLig2AG","String","Drama","876","Narcos","B069","a0BGA000050SLig2AG","Item Updated"
"a0BGA000050SLih2AG","Dulqer","Fiction","837","SeethaRam","B070","a0BGA000050SLih2AG","Item Updated"
"a0BGA000050SLii2AG","Aiswary Rai","Fiction","832","Poniyan Selvan","B071","a0BGA000050SLii2AG","Item Updated"
"a0BGA000050SLij2AG","SS Rajmaouli","Fiction","789","Lords of Rings","B072","a0BGA000050SLij2AG","Item Updated"
