"ID","NAME","AUTHOR__C","BOOK_TYPE__C","PRICE__C","ID","EXT_BOOK_ID__C","STATUS"
"a0BGA000050SLqz2AG","Avatar","Aang","Fiction","550.0","a0BGA000050SLqz2AG","B089","Item Updated"
"a0BGA000050SLr02AG","Titanic","James","Classic","890.0","a0BGA000050SLr02AG","B090","Item Updated"
"a0BGA000050SLha2AG","Swarnakamlam","K.Viswanth","Classic","10.0","a0BGA000050SLha2AG","B001","Item Updated"
"a0BGA000050SLhb2AG","Donga","Chirenjevi","Drama","20.0","a0BGA000050SLhb2AG","B002","Item Updated"
"a0BGA000050SLhc2AG","Dhruva","Charan","Drama","30.0","a0BGA000050SLhc2AG","B003","Item Updated"
"a0BGA000050SLhd2AG","Harry Porter- Part-2","Maimuna","Classic","100.0","a0BGA000050SLhd2AG","B004","Item Updated"
"a0BGA000050SLhe2AG","Khiadi 150","Chiranjeevi","Classic","20.0","a0BGA000050SLhe2AG","B005","Item Updated"
"a0BGA000050SLhf2AG","Bhaubali","Rana","Drama","20.0","a0BGA000050SLhf2AG","B006","Item Updated"
"a0BGA000050SLhg2AG","Katamarayudu","Chirenjevi","Drama","30.0","a0BGA000050SLhg2AG","B007","Item Updated"
"a0BGA000050SLhh2AG","Raja","Venkatesh","Drama","40.0","a0BGA000050SLhh2AG","B008","Item Updated"
"a0BGA000050SLhi2AG","Independenc Day","Valdmir Putin","Fiction","73.0","a0BGA000050SLhi2AG","B009","Item Updated"
"a0BGA000050SLhj2AG","Welcome 2","Nagarjuna","Drama","60.0","a0BGA000050SLhj2AG","B010","Item Updated"
"a0BGA000050SLhk2AG","Ramayana","Valmiki","Drama","100.0","a0BGA000050SLhk2AG","B011","Item Updated"
"a0BGA000050SLhl2AG","Mahabaratham","Vyasa","Classic","100.0","a0BGA000050SLhl2AG","B012","Item Updated"
"a0BGA000050SLhm2AG","War","Tiger Shroff","Drama","300.0","a0BGA000050SLhm2AG","B013","Item Updated"
"a0BGA000050SLhn2AG","Syra Narsimah Reddy","NTR","Drama","200.0","a0BGA000050SLhn2AG","B014","Item Updated"
"a0BGA000050SLho2AG","RRR","Jr NTR","Drama","20.0","a0BGA000050SLho2AG","B015","Item Updated"
"a0BGA000050SLhp2AG","Expandables","Ashish","Drama","100.0","a0BGA000050SLhp2AG","B016","Item Updated"
"a0BGA000050SLhq2AG","Uri","Kuashal","Drama","200.0","a0BGA000050SLhq2AG","B017","Item Updated"
"a0BGA000050SLhr2AG","Corona Virus -Phase 1","China - Wuhang","Fiction","300.0","a0BGA000050SLhr2AG","B018","Item Updated"
"a0BGA000050SLhs2AG","Welcome to India","India","Fiction","300.0","a0BGA000050SLhs2AG","B019","Item Updated"
"a0BGA000050SLht2AG","Fast Furious","Evans","Fiction","400.0","a0BGA000050SLht2AG","B020","Item Updated"
"a0BGA000050SLhu2AG","KGF-Part3","Prasant Niel","Fiction","400.0","a0BGA000050SLhu2AG","B021","Item Updated"
"a0BGA000050SLhv2AG","KGF-Part4","Yash","Fiction","400.0","a0BGA000050SLhv2AG","B022","Item Updated"
"a0BGA000050SLhw2AG","KGF-Part2","Yash","Fiction","300.0","a0BGA000050SLhw2AG","B023","Item Updated"
"a0BGA000050SLhx2AG","Welcome 3","Pawan Kalyan","Drama","200.0","a0BGA000050SLhx2AG","B024","Item Updated"
"a0BGA000050SLhy2AG","Iron Man","Brad Pit","Fiction","799.0","a0BGA000050SLhy2AG","B025","Item Updated"
"a0BGA000050SLhz2AG","Master","Rajnikanth","Drama","899.0","a0BGA000050SLhz2AG","B026","Item Updated"
"a0BGA000050SLi02AG","Ektha Tiger","Kathrenia Kaif","Fiction","700.0","a0BGA000050SLi02AG","B027","Item Updated"
"a0BGA000050SLi12AG","Rambo","Sr. George Bush","Drama","700.0","a0BGA000050SLi12AG","B028","Item Updated"
"a0BGA000050SLi22AG","Vakeel Saab","Pawan Kalyan","Drama","800.0","a0BGA000050SLi22AG","B029","Item Updated"
"a0BGA000050SLi32AG","The Troy","Brad Pit","Fiction","203.0","a0BGA000050SLi32AG","B030","Item Updated"
"a0BGA000050SLi42AG","Tesla","Elon Musk","Fiction","634.0","a0BGA000050SLi42AG","B031","Item Updated"
"a0BGA000050SLi52AG","Radhe","Akshay","Fiction","653.0","a0BGA000050SLi52AG","B032","Item Updated"
"a0BGA000050SLi62AG","RadheShyam","Prabhas","Fiction","323.0","a0BGA000050SLi62AG","B033","Item Updated"
"a0BGA000050SLi72AG","Corono Phase 3","China","Drama","500.0","a0BGA000050SLi72AG","B034","Item Updated"
"a0BGA000050SLi82AG","Family Man- Part2","Manoj Bajpayee","Fiction","211.0","a0BGA000050SLi82AG","B035","Item Updated"
"a0BGA000050SLi92AG","Rocky","Sylverster","Drama","872.0","a0BGA000050SLi92AG","B036","Item Updated"
"a0BGA000050SLiA2AW","Spider Man Part-1","Arnold","Fiction","877.0","a0BGA000050SLiA2AW","B037","Item Updated"
"a0BGA000050SLiB2AW","Tennis","Sania Mirza","Drama","988.0","a0BGA000050SLiB2AW","B038","Item Updated"
"a0BGA000050SLiC2AW","Michelin Movies","Kaustab","Drama","922.0","a0BGA000050SLiC2AW","B039","Item Updated"
"a0BGA000050SLiD2AW","Avengers","John Travolta","Fiction","928.0","a0BGA000050SLiD2AW","B040","Item Updated"
"a0BGA000050SLiE2AW","Amazon","Jeff Boyce","Drama","999.0","a0BGA000050SLiE2AW","B041","Item Updated"
"a0BGA000050SLiF2AW","Phathan","Deepika","Drama","987.0","a0BGA000050SLiF2AW","B042","Item Updated"
"a0BGA000050SLiG2AW","Shersha","Sidhartha","Fiction","987.0","a0BGA000050SLiG2AW","B043","Item Updated"
"a0BGA000050SLiP2AW","Dhrishyam-2","Aay Devegan","Fiction","654.0","a0BGA000050SLiP2AW","B052","Item Updated"
"a0BGA000050SLiQ2AW","Poor Dad Rich Dad","Dharani","Fiction","878.0","a0BGA000050SLiQ2AW","B053","Item Updated"
"a0BGA000050SLiR2AW","Aacharya","Ramcharan","Drama","766.0","a0BGA000050SLiR2AW","B054","Item Updated"
